z,mu,err
0.0849,-0.0030719646425,0.0322489015895
0.1349,-0.00736508481362,0.0190839446003
0.1849,0.000482529684158,0.013348455201
0.2349,0.00316251742594,0.010808310312
0.2849,0.00031158968919,0.00980454720706
0.3349,-0.00893989984011,0.00967353946119
0.3849,-0.0179744042258,0.00995086052567
0.4349,-0.00621826626863,0.0110720502268
0.4849,-0.0218944817937,0.0139329735977
0.5349,-0.0207870662434,0.0176684129521
0.5849,-0.0452429232922,0.019561773224
0.6349,-0.0505539309514,0.0224443720872
0.6849,-0.00938336355515,0.0276223116515
0.7349,-0.0478602775009,0.044847175774
0.7849,-0.189895449111,0.0503131632194
